,artist,track,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
6941,Leavv,Voyage,spotify:track:42GhletESlrhyhtFkjkf6Q,61,2018,0.743,0.204,5,-11.501,0,0.0891,0.102,0.9,0.112,0.435,172.137,audio_features,139275,4
6942,Tenth Avenue North,Control (Acoustic),spotify:track:0VmBlp1AM3B8IxQnuBLQJ6,57,2018,0.666,0.408,11,-7.756,1,0.0285,0.743,0.0,0.11,0.324,119.955,audio_features,228999,4
6943,Nico Collins,Alone,spotify:track:0Lu9pdU9sOqI2jFwxfztCb,60,2018,0.525,0.785,2,-2.407,0,0.0455,0.0356,0.0,0.103,0.47,170.116,audio_features,234001,4
6944,Zaytoven,Mo Reala,spotify:track:6B6MWIzXwsTWQpqYzw9bBI,55,2018,0.878,0.52,9,-7.58,1,0.131,0.218,0.0,0.119,0.337,110.996,audio_features,278187,4
6945,DaBaby,Tax Time,spotify:track:7GmszQmVSjsSNqY51O5AY7,56,2018,0.863,0.718,5,-6.922,0,0.0619,0.0396,0.0,0.255,0.717,115.017,audio_features,90520,4
6946,Alexandra Streliski,Changing Winds,spotify:track:2ISfaG0rITEpAUG2fe15UY,61,2018,0.298,0.0452,0,-25.733,1,0.0312,0.986,0.918,0.117,0.152,74.105,audio_features,193810,4
6947,Dom Dolla,Take It,spotify:track:14fIlfcmFPlj4V2IazeJ25,65,2018,0.851,0.742,0,-6.126,1,0.0377,0.0259,0.256,0.111,0.236,123.033,audio_features,234440,4
6948,Papa Roach,Elevate,spotify:track:1SNipdzMky2C2LwvoVRzsv,60,2018,0.666,0.775,2,-5.458,0,0.0979,0.0226,0.0,0.254,0.59,144.998,audio_features,191565,4
6949,Stray Kids,Hellevator,spotify:track:67LJNZyfDA1uaPCtlpyuKN,64,2018,0.515,0.816,10,-2.33,1,0.165,0.00816,0.0,0.351,0.288,78.169,audio_features,240000,4
6950,Noise for Healing,Pink Noise Sleep Loop (Looped Sleep Pink Noise),spotify:track:6bW6GIaja5aIc8CEjwTL5N,59,2018,0.0,2.01e-05,1,-18.756,1,0.0,0.00212,0.905,0.429,0.0,0.0,audio_features,304880,0
